
Username Request: 2015/04/25 16:00:13.660254 - A User requested to retrieve the username, patrick92. Request successful and username emailed.
Password Reset Request: 2015/04/25 16:00:43.116111 - A User requested to reset password through email for username, patrick92. Request successful.
Password Reset Request: 2015/04/25 16:01:10.924737 - A User attempted to reset password through security question for username, patrick92. Request successful.
Password Reset Successful: 2015/04/25 16:01:25.584392 - A User has successfully reset the password for username, patrick92.
Login: 2015/04/25 16:01:35.936297 - A User attempted to login with username, patrick92 has attempted to login to the site and failed
Login: 2015/04/25 18:13:14.675286 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Login: 2015/04/25 18:13:23.353535 - A User attempted to login with username, stevenelberger and was successful
Login: 2015/04/25 19:53:10.900703 - A User attempted to login with username, stevenelberger and was successful
Username Request: 2015/04/25 19:53:28.699140 - A User requested to retrieve the username, stevenelberger. Request successful and username emailed.
Password Reset Request: 2015/04/25 19:53:48.131869 - A User requested to reset password through email for username, stevenelberger. Request successful.
Password Reset Request: 2015/04/25 19:54:29.1163 - A User attempted to reset password through security question for username, stevenelberger. Request successful.
Password Reset Successful: 2015/04/25 19:54:37.961408 - A User has successfully reset the password for username, stevenelberger.
Login: 2015/04/25 19:54:42.430370 - A User attempted to login with username, stevenelberger and was successful
Login: 2015/04/25 19:55:36.90426 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Login: 2015/04/25 19:55:51.484698 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Login: 2015/04/25 19:55:54.202168 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Login: 2015/04/25 19:55:57.77964 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Login: 2015/04/25 19:56:02.521179 - A User attempted to login with username, stevenelberger has attempted to login to the site and failed
Username Request: 2015/04/25 20:01:37.667922 - A User requested to retrieve the username, stevenelberger. Request successful and username emailed.
Password Reset Request: 2015/04/25 20:02:38.287626 - A User requested to reset password through email for username, stevenelberger. Request successful.
Password Reset Successful: 2015/04/25 20:05:18.439936 - A User has successfully reset the password for username, stevenelberger.
Login: 2015/04/25 20:06:55.96581 - A User attempted to login with username, stevenelberger and was successful
Login: 2015/04/25 20:25:51.562325 - A User attempted to login with username, stevenelberger and was successful
Password Reset Request: 2015/04/25 20:26:20.583686 - A User requested to reset password through email for username, stevenelberger. Request successful.
Password Reset Successful: 2015/04/25 20:27:14.152580 - A User has successfully reset the password for username, stevenelberger.
Login: 2015/04/25 20:27:20.504549 - A User attempted to login with username, stevenelberger and was successful
Password Reset Request: 2015/04/25 20:29:03.764885 - A User requested to reset password through email for username, stevenelberger. Request successful.
Password Reset Successful: 2015/04/25 20:29:17.868545 - A User has successfully reset the password for username, stevenelberger.
Login: 2015/04/25 20:29:21.386673 - A User attempted to login with username, stevenelberger and was successful
